"date","close","volume","open","high","low"
"2015/11/03","748.8200","1814805.0000","745.4300","751.6980","741.1600"
"2015/11/02","747.7400","1994264.0000","737.8800","748.1800","731.4500"
"2015/10/30","737.3900","1997533.0000","745.5600","746.3100","736.5300"
"2015/10/29","744.8500","1824574.0000","736.6300","746.7900","735.1600"
"2015/10/28","736.9200","1967439.0000","733.0000","737.3700","727.2700"
"2015/10/27","732.8200","1936404.0000","726.5700","735.9642","724.1350"
"2015/10/26","731.1200","2411726.0000","720.0200","734.9500","720.0200"
"2015/10/23","719.3300","6330015.0000","750.0600","752.5000","717.9400"
"2015/10/22","681.1400","4360204.0000","675.4400","688.0499","671.7000"
"2015/10/21","671.8000","1604735.0000","683.2100","684.9000","670.7000"
"2015/10/20","680.0000","2619471.0000","697.8900","698.0000","673.6800"
"2015/10/19","699.9500","1502651.0000","694.0000","700.2397","692.2100"
"2015/10/16","695.3200","1815517.0000","695.4000","696.2200","689.1000"
"2015/10/15","693.0200","2355459.0000","685.2500","694.1600","684.3900"
"2015/10/14","680.4100","1563983.0000","683.7300","690.0400","678.9000"
"2015/10/13","683.1700","2115479.0000","674.2600","688.4600","673.1080"
"2015/10/12","676.4300","1331892.0000","669.1900","677.9800","667.2400"
"2015/10/09","671.2400","1604461.0000","667.4900","674.0850","662.3600"
"2015/10/08","667.0000","1963318.0000","669.4500","671.8900","654.4900"
"2015/10/07","670.0000","2188886.0000","677.4000","678.7400","658.1100"
"2015/10/06","671.6400","2156640.0000","669.3500","678.8000","663.0823"
"2015/10/05","671.6800","1896277.0000","661.6000","673.0275","655.8700"
"2015/10/02","656.9900","2434071.0000","638.0100","658.2555","633.5000"
"2015/10/01","642.0000","2117079.0000","637.9400","643.8400","631.1150"
"2015/09/30","638.3700","2644953.0000","631.8300","639.3100","629.1500"
"2015/09/29","622.6100","2106411.0000","625.5000","634.6800","618.0300"
"2015/09/28","624.2500","2372041.0000","639.0500","642.8500","617.8400"
"2015/09/25","640.1500","2421258.0000","658.5800","658.5800","639.6550"
"2015/09/24","654.9100","1933343.0000","648.9700","656.7699","642.1650"
"2015/09/23","653.2900","1455506.0000","652.9000","660.2800","650.7301"
"2015/09/22","653.2000","2714760.0000","657.4700","658.8200","645.0300"
"2015/09/21","666.9800","1908296.0000","665.5100","669.0000","658.0000"
"2015/09/18","660.9200","3622426.0000","665.0600","669.8400","660.0300"
"2015/09/17","671.6700","2372191.0000","667.4900","681.9900","665.0000"
"2015/09/16","665.5200","1311353.0000","665.5500","668.0699","662.2000"
"2015/09/15","665.0700","1776383.0000","656.7100","668.8500","653.3400"
"2015/09/14","652.4700","1497577.0000","655.6300","655.9200","649.5010"
"2015/09/11","655.3000","1744371.0000","650.2100","655.3100","647.4100"
"2015/09/10","651.0800","1387402.0000","643.9000","654.9000","641.7000"
"2015/09/09","643.4100","2046496.0000","651.8800","657.3600","640.9000"
"2015/09/08","643.8800","1952855.0000","641.0000","645.0400","632.9000"
"2015/09/04","628.9600","2021368.0000","629.7000","634.5000","626.5000"
"2015/09/03","637.0500","1726636.0000","647.9300","651.2500","633.8073"
"2015/09/02","644.9100","1876564.0000","638.0000","645.0570","630.6400"
"2015/09/01","629.5600","2572229.0000","633.8100","644.4400","625.0600"
"2015/08/31","647.8200","1939177.0000","654.3400","664.4100","646.3500"
"2015/08/28","659.6900","1937829.0000","665.7600","667.0000","653.7500"
"2015/08/27","667.9600","2943990.0000","671.9900","673.9799","651.1000"
"2015/08/26","659.7400","4292376.0000","643.1000","662.4800","630.3700"
"2015/08/25","612.4700","3565971.0000","646.4680","647.0000","611.6700"
"2015/08/24","618.1100","6472137.0000","600.6000","644.3300","593.0900"
"2015/08/21","644.0300","4525625.0000","671.0400","672.8900","643.1040"
"2015/08/20","679.4800","2885476.0000","689.1000","696.1600","675.2801"
"2015/08/19","694.0400","2507033.0000","690.1100","700.2000","686.8000"
"2015/08/18","688.7300","1385267.0000","691.0700","695.7568","685.3200"
"2015/08/17","694.1100","1231922.0000","688.0400","694.7400","683.0600"
"2015/08/14","689.3700","1379730.0000","684.0400","692.2600","682.9000"
"2015/08/13","686.5100","1812741.0000","689.2000","694.0300","682.1800"
"2015/08/12","691.4700","2926164.0000","694.4900","696.0000","680.5100"
"2015/08/11","690.3000","5472566.0000","699.5800","704.0000","684.3200"
"2015/08/10","663.1400","1587541.0000","667.0900","671.6200","660.2300"
"2015/08/07","664.3900","1376441.0000","667.7800","668.7950","658.8700"
"2015/08/06","670.1500","2031876.0000","673.9900","674.7500","660.7300"
"2015/08/05","673.2900","1821862.0000","665.7500","679.9100","665.5827"
"2015/08/04","661.2800","1306378.0000","664.3400","668.0000","660.5100"
"2015/08/03","664.7200","1561711.0000","657.6600","666.6700","657.6600"
"2015/07/31","657.5000","1744458.0000","664.7000","664.9999","657.2000"
"2015/07/30","664.5600","1979981.0000","657.4400","668.0500","651.6900"
"2015/07/29","661.4300","1835632.0000","662.2600","663.3300","652.8400"
"2015/07/28","659.6600","1718071.0000","661.7600","664.1000","653.4100"
"2015/07/27","658.2700","2917862.0000","651.5700","667.0700","651.5500"
"2015/07/24","654.7700","4127302.0000","676.7700","677.7900","653.1800"
"2015/07/23","674.7300","3738692.0000","691.8500","696.0700","671.5900"
"2015/07/22","695.1000","4132750.0000","694.0200","713.3300","691.6200"
"2015/07/21","695.3500","3764433.0000","684.8800","705.6000","684.1500"
"2015/07/20","692.8400","5116327.0000","688.9800","697.8000","681.7700"
"2015/07/17","699.6200","12846880.0000","680.0000","703.0000","678.0000"
"2015/07/16","601.7800","5401450.0000","589.5000","604.5000","587.9200"
"2015/07/15","583.9600","2067590.0000","583.7400","588.6900","580.2100"
"2015/07/14","584.1800","3710928.0000","574.5000","589.7087","574.1700"
"2015/07/13","571.7300","2085866.0000","559.5100","572.8500","558.7000"
"2015/07/10","556.1100","2169406.0000","553.7100","559.2900","552.0000"
"2015/07/09","544.6500","1485579.0000","548.6500","548.8800","544.6200"
"2015/07/08","541.7000","1380910.0000","545.6000","548.2800","541.2000"
"2015/07/07","550.0300","1678926.0000","547.4300","551.0000","539.8500"
"2015/07/06","545.6200","1277899.0000","542.2500","548.5800","542.0950"
"2015/07/02","547.3400","1406198.0000","544.7400","548.0000","543.5700"
"2015/07/01","543.3000","1536068.0000","543.6600","545.8100","539.7600"
"2015/06/30","540.0400","1724359.0000","545.0900","545.9000","539.5400"
"2015/06/29","541.2500","1880383.0000","546.7500","550.9000","540.2400"
"2015/06/26","553.0600","2183443.0000","559.7100","560.0000","551.8500"
"2015/06/25","557.9500","1335133.0000","560.3000","563.1400","557.4550"
"2015/06/24","558.5700","1442149.0000","562.4800","562.6400","556.8100"
"2015/06/23","563.3900","1568936.0000","559.7900","564.9000","557.1500"
"2015/06/22","559.6800","1735267.0000","559.4100","565.6100","558.9100"
"2015/06/19","557.5200","2961487.0000","556.5200","557.9100","552.2580"
"2015/06/18","556.1800","2058702.0000","548.0000","557.2500","548.0000"
"2015/06/17","546.6000","1216067.0000","545.4200","548.3600","541.8100"
"2015/06/16","544.8700","1625462.0000","544.4800","546.6900","541.5724"
"2015/06/15","543.0000","1357406.0000","542.7300","544.0500","539.2100"
"2015/06/12","547.4700","1272112.0000","547.1500","548.8500","545.6300"
"2015/06/11","550.0400","1287655.0000","554.4900","554.8300","549.1700"
"2015/06/10","552.6000","1512572.0000","545.7000","554.7800","545.1100"
"2015/06/09","542.1600","1496543.0000","543.4200","544.8400","538.8506"
"2015/06/08","543.4800","1366108.0000","549.6100","549.8700","542.9500"
"2015/06/05","549.5300","1218634.0000","552.0000","553.3300","547.3840"
"2015/06/04","551.6900","1316279.0000","552.1800","555.9600","549.1200"
"2015/06/03","555.2900","1333465.0000","555.1000","557.9900","552.1500"
"2015/06/02","553.9500","1592575.0000","547.4300","558.7900","546.5500"
"2015/06/01","549.2100","1653245.0000","548.7300","550.5700","543.5800"
"2015/05/29","545.3200","2158011.0000","553.2000","553.9400","545.0400"
"2015/05/28","554.1800","1177318.0000","553.7900","555.7600","550.8000"
"2015/05/27","554.2500","1742062.0000","548.6800","555.2900","546.5813"
"2015/05/26","547.1900","1866458.0000","552.5800","553.3305","542.9700"
"2015/05/22","554.5200","1209496.0000","554.4600","558.2400","553.6200"
"2015/05/21","556.8100","1707151.0000","550.2000","557.6100","549.3010"
"2015/05/20","552.5100","1540493.0000","550.9200","556.0650","545.1000"
"2015/05/19","549.2800","2354545.0000","548.0000","553.4000","547.1200"
"2015/05/18","546.6700","1333895.0000","543.8200","548.3400","542.2500"
"2015/05/15","546.4900","1669028.0000","550.3900","550.6000","542.5000"
"2015/05/14","549.2000","1583182.0000","543.9700","549.6900","542.5000"
"2015/05/13","539.4900","1211630.0000","540.4700","543.8400","538.9800"
"2015/05/12","538.7300","1762653.0000","542.8100","542.9610","535.0000"
"2015/05/11","545.7800","1091503.0000","548.4900","553.3699","545.6000"
"2015/05/08","548.9500","1411047.0000","548.8700","552.8000","548.0300"
"2015/05/07","542.0400","1590003.0000","535.9000","545.2000","533.4500"
"2015/05/06","535.0800","1948741.0000","542.6400","543.9300","532.2350"
"2015/05/05","543.0450","1422862.0000","550.1600","552.6100","542.3700"
"2015/05/04","552.8400","1750805.0000","550.9900","556.6900","547.3900"
"2015/05/01","551.1600","1730758.0000","550.5100","551.2200","543.8500"
"2015/04/30","548.7700","2359357.0000","558.5600","561.1100","546.7200"
"2015/04/29","561.3900","1680892.0000","560.5100","565.8400","559.0000"
"2015/04/28","564.3700","1859750.0000","564.3200","567.8300","560.9600"
"2015/04/27","566.1200","2398657.0000","572.7700","575.5200","562.3000"
"2015/04/24","573.6600","4608117.0000","580.0500","584.7000","568.3500"
"2015/04/23","557.4600","3832155.0000","550.4100","561.1700","550.0800"
"2015/04/22","549.1800","1588353.0000","543.0600","551.0000","541.3200"
"2015/04/21","542.9250","1456074.0000","546.3100","547.7745","542.2100"
"2015/04/20","544.5300","1925377.0000","533.7500","545.8000","533.3500"
"2015/04/17","532.7400","2458770.0000","537.3100","539.8000","529.0000"
"2015/04/16","543.5200","1582777.0000","538.3500","545.2290","538.1000"
"2015/04/15","541.0400","2345682.0000","537.9600","543.1900","532.3700"
"2015/04/14","539.7800","2357586.0000","546.5700","546.5700","535.7400"
"2015/04/13","548.6400","1466277.0000","547.0500","553.2700","546.3000"
"2015/04/10","548.5400","1305197.0000","549.5700","549.8500","544.9800"
"2015/04/09","548.0200","1617785.0000","549.2100","549.3700","541.9510"
"2015/04/08","548.8400","1419291.0000","546.0000","551.5000","546.0000"
"2015/04/07","544.8600","1365906.0000","544.9900","550.1600","543.5850"
"2015/04/06","543.9500","1684445.0000","538.8400","545.5400","535.7000"
"2015/04/02","541.3100","2387229.0000","547.4100","548.0000","540.4400"
"2015/04/01","549.4900","1936432.0000","554.8300","558.5000","546.0300"
"2015/03/31","554.7000","1746223.0000","557.9400","562.4500","554.6700"
"2015/03/30","561.1350","1238950.0000","560.2500","562.1600","556.7900"
"2015/03/27","557.5500","1725780.0000","561.8300","564.0660","556.9300"
"2015/03/26","563.6400","2489407.0000","564.6500","567.1900","558.3100"
"2015/03/25","567.0000","2652778.0000","577.5700","580.0700","567.0000"
"2015/03/24","577.5400","3952003.0000","568.5400","581.8800","568.0900"
"2015/03/23","565.3700","1501661.0000","566.0000","569.6399","563.0600"
"2015/03/20","564.9500","2212764.0000","566.7100","567.1000","564.4800"
"2015/03/19","563.6700","1230348.0000","564.5200","566.9600","562.1200"
"2015/03/18","566.1600","1762169.0000","557.7300","566.5100","553.5000"
"2015/03/17","557.6100","1443991.0000","558.2900","560.6400","554.4100"
"2015/03/16","561.6400","1840931.0000","556.9300","563.7500","551.3200"
"2015/03/13","553.0000","1769482.0000","559.2300","564.3600","550.3300"
"2015/03/12","561.1700","1779635.0000","558.4800","561.8400","555.5300"
"2015/03/11","555.6900","2025341.0000","559.8000","564.1800","555.4100"
"2015/03/10","559.8500","2002985.0000","568.4750","569.7620","559.8200"
"2015/03/09","574.1000","1174148.0000","570.9200","575.4500","569.0500"
"2015/03/06","572.9000","1877842.0000","582.0000","582.7800","572.0600"
"2015/03/05","581.4350","1795117.0000","579.6200","583.2000","578.2300"
"2015/03/04","578.3300","1897566.0000","576.9700","581.6300","572.5200"
"2015/03/03","578.7950","2526019.0000","576.3500","580.8500","570.5000"
"2015/03/02","575.0200","2515699.0000","567.0000","575.9900","563.1500"
"2015/02/27","562.6300","3414672.0000","558.1500","569.4200","557.0300"
"2015/02/26","559.2900","2700734.0000","545.7400","560.1299","545.0900"
"2015/02/25","547.3300","2041250.0000","538.4400","549.5700","538.0100"
"2015/02/24","538.6500","1421363.0000","531.5500","539.4000","531.0000"
"2015/02/23","535.0000","1642529.0000","539.0000","539.3000","532.0000"
"2015/02/20","541.8000","1911661.0000","547.5800","547.5800","538.1000"
"2015/02/19","546.4500","1541664.0000","542.4700","546.8600","540.7500"
"2015/02/18","542.6500","1462015.0000","543.8200","547.5500","539.5500"
"2015/02/17","545.0100","1957516.0000","551.1600","553.0000","543.2600"
"2015/02/13","551.1600","2298660.0000","547.5100","552.5400","546.6000"
"2015/02/12","546.0100","2427255.0000","539.6600","548.3400","537.0000"
"2015/02/11","538.0000","1914093.0000","539.7300","541.9500","536.0000"
"2015/02/10","540.1600","2367572.0000","532.1500","541.0000","529.1725"
"2015/02/09","529.2800","1513810.0000","531.0600","533.8800","527.5500"
"2015/02/06","533.8750","2144723.0000","531.0100","540.2150","528.6500"
"2015/02/05","529.8300","1658557.0000","527.9300","530.6900","525.6400"
"2015/02/04","526.1000","1692531.0000","533.1400","536.7460","525.0300"
"2015/02/03","533.3000","2352437.0000","529.9400","537.4500","526.8100"
"2015/02/02","532.2000","3765337.0000","534.3200","536.5000","521.7200"
"2015/01/30","537.5500","6053660.0000","519.0000","543.1000","518.1800"
"2015/01/29","513.2300","3889925.0000","512.9000","515.1900","503.4800"
"2015/01/28","512.4300","1784237.0000","525.0000","525.6900","512.3500"
"2015/01/27","521.1900","1956292.0000","531.4000","532.7800","520.8612"
"2015/01/26","536.7200","1546251.0000","541.5000","541.5000","532.0700"
"2015/01/23","541.9500","2295988.0000","538.0300","545.4100","535.7508"
"2015/01/22","537.3000","2799380.0000","523.0000","538.8400","521.9100"
"2015/01/21","520.3900","2316928.0000","510.8400","521.8510","509.5900"
"2015/01/20","509.9400","2340379.0000","512.7700","515.6100","509.3700"
"2015/01/16","510.4550","2482675.0000","503.1500","510.8500","503.0900"
"2015/01/15","504.0100","2553978.0000","508.8900","509.7500","502.0100"
"2015/01/14","505.9300","2633957.0000","500.4200","508.2600","498.1600"
"2015/01/13","501.8000","3049845.0000","502.5700","508.6000","497.2600"
"2015/01/12","497.0600","2855348.0000","499.2400","500.2800","490.9100"
"2015/01/09","500.7200","2097137.0000","508.1800","508.6000","498.6500"
"2015/01/08","506.9100","3661816.0000","501.5100","507.5000","495.0200"
"2015/01/07","505.1500","2345062.0000","510.9500","511.4900","503.6500"
"2015/01/06","506.6400","2727897.0000","520.5000","521.2100","505.5500"
"2015/01/05","519.4600","2054120.0000","527.1500","527.9899","517.7500"
"2015/01/02","529.5500","1325271.0000","532.6000","535.8000","527.8800"
"2014/12/31","530.6600","1235889.0000","537.7400","538.4000","530.2000"
"2014/12/30","535.2800","1046686.0000","534.9600","537.8400","533.6100"
"2014/12/29","537.3100","2217828.0000","540.5000","543.9300","537.1600"
"2014/12/26","541.5200","1113425.0000","536.9300","543.2500","535.4900"
"2014/12/24","536.9300","737848.0000","538.8200","540.2900","535.1000"
"2014/12/23","538.7700","2877193.0000","534.5100","542.3000","533.7200"
"2014/12/22","532.3000","3315632.0000","520.6100","532.9700","520.5900"
"2014/12/19","520.0400","4804183.0000","516.9900","520.8100","508.8600"
"2014/12/18","514.6200","3873317.0000","515.9900","516.2500","506.5600"
"2014/12/17","506.4500","3636510.0000","499.8600","509.0700","499.1100"
"2014/12/16","498.1600","4343007.0000","513.6000","515.5800","497.1900"
"2014/12/15","515.8400","2618113.0000","523.7600","525.3700","515.3970"
"2014/12/12","521.5100","2370357.0000","527.4400","532.2400","521.4600"
"2014/12/11","532.1100","2071269.0000","530.0100","537.0400","529.1600"
"2014/12/10","528.0400","2315070.0000","535.9000","539.3600","527.4900"
"2014/12/09","536.1100","2166487.0000","525.8750","536.6500","523.4100"
"2014/12/08","530.7300","3231114.0000","529.2200","533.8150","527.0000"
"2014/12/05","528.0800","3067025.0000","536.7000","538.2000","527.2600"
"2014/12/04","542.5800","1630810.0000","537.6400","542.6900","534.8900"
"2014/12/03","536.9700","1623977.0000","537.5000","541.4050","535.2100"
"2014/12/02","538.5900","2073746.0000","539.4500","541.8500","534.6570"
"2014/12/01","539.6500","1991727.0000","545.0900","548.7900","538.6200"
"2014/11/28","549.0800","1210061.0000","547.0000","549.6000","544.4801"
"2014/11/26","547.7300","1480222.0000","549.2300","549.8800","545.2300"
"2014/11/25","549.2300","1901867.0000","547.2100","552.5000","546.9100"
"2014/11/24","547.4800","1651178.0000","546.5700","551.1900","544.1500"
"2014/11/21","545.8900","2495482.0000","551.0400","551.0400","545.0000"
"2014/11/20","543.7600","1749993.0000","542.0900","545.3800","541.5000"
"2014/11/19","547.2000","1514254.0000","544.7500","548.2200","539.1900"
"2014/11/18","544.5100","1821114.0000","547.9300","552.7900","543.8000"
"2014/11/17","546.6400","1672965.0000","555.1900","555.1900","544.4400"
"2014/11/14","555.1900","1424141.0000","558.0000","558.0000","552.5100"
"2014/11/13","556.4400","1509412.0000","560.8100","560.8199","554.0900"
"2014/11/12","558.2500","1091207.0000","561.1500","561.2500","555.5000"
"2014/11/11","561.2900","1096715.0000","558.5200","562.5000","556.2419"
"2014/11/10","558.2300","1298160.0000","552.4000","560.6300","551.6200"
"2014/11/07","551.8200","1588998.0000","555.6000","555.6000","549.3500"
"2014/11/06","551.6900","1649048.0000","555.5000","556.7990","550.5800"
"2014/11/05","555.9500","1638667.0000","566.7900","566.9000","554.1500"
"2014/11/04","564.1900","1384902.0000","561.1600","564.7900","558.3000"
"2014/11/03","563.7700","1541486.0000","563.5300","567.1500","561.6300"
"2014/10/31","567.8700","2339196.0000","568.3000","568.7300","564.8100"
"2014/10/30","560.2700","1611177.0000","558.2500","562.5000","552.1300"
"2014/10/29","558.4500","2052623.0000","560.8500","564.9700","555.9800"
"2014/10/28","558.9400","1731315.0000","551.7100","559.2000","550.4300"
"2014/10/27","549.8800","1596722.0000","547.7600","554.0000","547.2000"
"2014/10/24","548.9000","2172669.0000","554.9800","555.0000","545.1600"
"2014/10/23","553.6500","2150880.0000","548.2800","557.4000","545.5000"
"2014/10/22","542.6900","2973468.0000","541.0500","550.7600","540.2300"
"2014/10/21","538.0300","2459395.0000","537.2700","538.7700","530.2000"
"2014/10/20","532.3800","2747409.0000","520.4500","533.1600","519.1400"
"2014/10/17","522.9700","5992238.0000","540.4500","543.4500","518.4100"
"2014/10/16","536.9200","3784199.0000","527.0000","540.9900","524.9500"
"2014/10/15","540.7300","3808148.0000","542.0800","543.9150","528.4220"
"2014/10/14","548.6900","2608672.0000","550.1400","558.6300","544.5000"
"2014/10/13","544.7500","2751949.0000","555.1300","560.8750","544.4300"
"2014/10/10","555.1900","2978506.0000","567.4700","575.2300","555.0100"
"2014/10/09","570.8100","2407643.0000","581.6100","582.5300","569.0300"
"2014/10/08","583.7400","2206710.0000","574.7900","584.6900","567.6400"
"2014/10/07","574.1000","1544014.0000","584.9000","585.8500","574.1000"
"2014/10/06","587.7800","1285696.0000","589.9500","592.4000","585.4000"
"2014/10/03","586.2500","1211716.0000","584.1000","588.2900","583.5000"
"2014/10/02","580.8800","1541071.0000","578.0000","583.2400","574.0500"
"2014/10/01","579.6300","1447666.0000","586.8000","588.7200","578.0200"
"2014/09/30","588.4100","1571469.0000","587.4900","591.0000","584.5000"
"2014/09/29","587.8100","1142659.0000","581.8300","589.3100","581.5700"
"2014/09/26","587.9000","1288870.0000","585.9300","589.5739","585.0000"
"2014/09/25","585.2500","1665860.0000","596.9900","598.0700","584.7400"
"2014/09/24","598.4200","1757807.0000","591.5700","600.1100","590.3000"
"2014/09/23","591.1800","1401711.0000","595.0000","596.6500","590.2400"
"2014/09/22","597.2700","1782194.0000","602.5000","603.8000","593.1200"
"2014/09/19","605.4000","4184064.0000","599.4900","605.4000","597.7600"
"2014/09/18","597.2700","1493346.0000","595.0500","597.5600","593.0200"
"2014/09/17","593.2900","1711642.0000","589.5100","596.0700","587.1200"
"2014/09/16","588.7800","1578274.0000","580.9500","590.1500","580.9500"
"2014/09/15","581.6400","1544649.0000","582.2400","583.9200","577.0100"
"2014/09/12","584.9000","1848820.0000","590.3900","591.4800","583.2800"
"2014/09/11","591.1100","1499553.0000","590.0000","591.9450","586.0400"
"2014/09/10","593.4200","1156693.0000","591.7400","593.7200","587.1400"
"2014/09/09","591.9700","1571006.0000","600.2700","600.6000","590.4800"
"2014/09/08","601.6300","1598620.0000","599.1400","603.5200","598.0231"
"2014/09/05","597.7800","1798013.0000","595.1300","598.5000","593.5500"
"2014/09/04","593.1400","1630391.0000","592.1300","598.0000","590.6000"
"2014/09/03","589.5200","1578792.0000","591.7300","594.4900","586.5000"
"2014/09/02","588.6300","1581444.0000","582.9500","589.3000","582.4000"
"2014/08/29","582.3600","1205814.0000","582.3500","582.8999","578.2400"
"2014/08/28","580.3200","1405713.0000","580.0200","584.7100","577.8800"
"2014/08/27","583.0000","1363287.0000","587.8100","589.3700","580.9000"
"2014/08/26","588.1200","1470046.0000","592.0000","592.0500","587.4500"
"2014/08/25","590.5700","1295469.0000","594.7700","595.5800","589.2600"
"2014/08/22","592.5400","876231.0000","593.2700","594.9900","589.8000"
"2014/08/21","592.4200","1131118.0000","594.9000","595.2500","591.1010"
"2014/08/20","595.4100","967253.0000","596.9500","596.9900","593.0010"
"2014/08/19","597.1100","1040746.0000","595.5900","597.8100","594.4400"
"2014/08/18","592.7000","1464370.0000","587.1000","595.0500","586.5500"
"2014/08/15","583.7100","1723366.0000","587.5000","589.4700","580.7600"
"2014/08/14","584.6500","1272369.0000","586.6900","587.8000","580.9200"
"2014/08/13","584.5600","1898211.0000","576.4500","586.1250","575.2000"
"2014/08/12","572.1200","1390807.0000","575.0000","575.9000","569.9100"
"2014/08/11","577.2500","1171290.0000","579.0000","579.6900","575.2980"
"2014/08/08","577.9400","1493324.0000","572.0200","579.5639","569.0200"
"2014/08/07","571.8100","1162124.0000","576.0500","578.3100","569.4300"
"2014/08/06","574.4900","1322760.0000","569.5000","578.6440","567.4500"
"2014/08/05","573.1400","1648328.0000","579.3800","580.2000","570.3100"
"2014/08/04","582.2700","1516299.0000","576.5100","583.8200","572.2600"
"2014/08/01","573.6000","2209772.0000","578.5550","583.4300","570.3000"
"2014/07/31","579.5500","2307214.0000","588.9600","591.9899","577.6800"
"2014/07/30","595.4400","1215052.0000","595.8100","598.4500","592.7000"
"2014/07/29","593.9500","1364289.0000","597.7000","598.4900","592.1700"
"2014/07/28","599.0200","1357713.0000","597.7500","601.0980","592.5900"
"2014/07/25","598.0800","1359950.0000","599.2500","601.0000","595.7500"
"2014/07/24","603.0100","1293149.0000","605.5300","608.9100","601.0000"
"2014/07/23","605.1900","1105900.0000","602.0500","607.0500","601.3500"
"2014/07/22","603.5700","1879176.0000","599.7000","608.8900","599.2576"
"2014/07/21","598.4400","2237320.0000","601.3500","604.1600","594.4500"
"2014/07/18","605.1100","4869149.0000","603.0100","606.7000","590.9200"
"2014/07/17","580.8200","2906223.0000","588.9700","589.5000","576.8500"
"2014/07/16","590.6200","1440365.0000","596.8900","597.0000","590.2500"
"2014/07/15","593.0600","1672965.0000","595.1500","595.2999","585.3100"
"2014/07/14","594.2600","1951055.0000","590.6000","594.8600","586.6930"
"2014/07/11","586.6500","1511384.0000","581.0000","588.2300","580.5750"
"2014/07/10","580.0400","1434626.0000","573.0000","585.2500","572.1001"
"2014/07/09","583.3600","1371057.0000","578.9500","584.1000","577.0000"
"2014/07/08","578.4000","2125090.0000","586.3650","587.9700","574.0000"
"2014/07/07","590.7600","1334876.0000","593.5100","595.6450","587.9400"
"2014/07/03","593.0800","898852.0000","591.7000","594.2500","589.0000"
"2014/07/02","590.7800","1195250.0000","592.2600","594.1500","589.1100"
"2014/07/01","591.4900","1643199.0000","587.6500","593.6600","586.2900"
"2014/06/30","584.6700","1478867.0000","586.7600","587.7100","583.2900"
"2014/06/27","585.6900","2015965.0000","585.4500","587.8800","582.6200"
"2014/06/26","584.7700","2001257.0000","589.3000","589.6000","579.6000"
"2014/06/25","585.9300","2110029.0000","573.5500","587.3000","573.2600"
"2014/06/24","572.5400","2843997.0000","574.2200","582.2500","569.1600"
"2014/06/23","574.2900","1722711.0000","564.3500","574.4400","563.5000"
"2014/06/20","566.5200","3156309.0000","566.4500","566.7700","559.3700"
"2014/06/19","564.9900","2627242.0000","561.1500","565.0000","556.6679"
"2014/06/18","560.6600","2057643.0000","552.8000","561.4000","551.5800"
"2014/06/17","550.6150","1477494.0000","552.3600","553.7400","547.4700"
"2014/06/16","552.3000","1938486.0000","557.2500","557.9900","550.0000"
"2014/06/13","560.3500","1353287.0000","560.0800","560.6500","553.7200"
"2014/06/12","559.5000","1546085.0000","567.0000","567.0000","557.1500"
"2014/06/11","567.5000","1128417.0000","565.9200","568.9700","563.6800"
"2014/06/10","568.3000","1472116.0000","568.7800","572.0000","566.1300"
"2014/06/09","570.7300","1529355.0000","566.7500","572.0000","565.2200"
"2014/06/06","566.0300","1740248.0000","568.1600","568.7999","559.5800"
"2014/06/05","564.9300","1792859.0000","557.1100","565.0000","555.0500"
"2014/06/04","553.7600","1729048.0000","551.5200","558.5800","548.5600"
"2014/06/03","554.5100","2026954.0000","560.9000","562.4000","552.5275"
"2014/06/02","564.3400","1660355.0000","569.7500","570.4100","556.7000"
"2014/05/30","571.6500","1871693.0000","571.6400","572.5800","565.7900"
"2014/05/29","570.5600","1409408.0000","573.3900","573.4800","568.4525"
"2014/05/28","570.4500","1580200.0000","574.5700","577.6600","569.9520"
"2014/05/27","574.8700","2185798.0000","567.7800","574.8700","564.1500"
"2014/05/23","563.8000","2672414.0000","558.1300","565.0000","554.1700"
"2014/05/22","555.4500","2146620.0000","552.2000","557.9600","551.0000"
"2014/05/21","549.7000","1562619.0000","542.9000","549.7500","542.1100"
"2014/05/20","540.3900","2424962.0000","540.0000","546.3500","536.5700"
"2014/05/19","538.8300","1976325.0000","528.8800","539.3500","525.6600"
"2014/05/16","528.3000","1907537.0000","529.6000","530.8400","523.5700"
"2014/05/15","529.1200","1829143.0000","533.1400","533.9999","525.3100"
"2014/05/14","534.4100","1280903.0000","541.8200","541.8200","533.1100"
"2014/05/13","541.5400","2010474.0000","539.5800","543.9900","537.9000"
"2014/05/12","538.4300","1944902.0000","531.8400","538.7500","527.5100"
"2014/05/09","526.6200","2261215.0000","518.6500","527.3500","514.2800"
"2014/05/08","520.1700","2450440.0000","515.7200","527.3500","514.4600"
"2014/05/07","518.0000","3071981.0000","523.2500","524.4300","511.0900"
"2014/05/06","522.5700","1834320.0000","533.4100","534.5480","522.2601"
"2014/05/05","535.3300","1228390.0000","530.2400","535.7200","527.5800"
"2014/05/02","533.8700","1779648.0000","541.4400","542.4000","533.2700"
"2014/05/01","538.5300","2003547.0000","534.2500","539.9100","532.8600"
"2014/04/30","534.8800","2036412.0000","535.1200","536.3400","529.0900"
"2014/04/29","536.3300","2531953.0000","523.8900","537.7600","523.0000"
"2014/04/28","522.9800","3750042.0000","525.8000","525.9000","511.0000"
"2014/04/25","523.1000","2369938.0000","532.2600","533.8600","522.5000"
"2014/04/24","534.4400","2065546.0000","541.6900","542.5000","531.0000"
"2014/04/23","537.5100","1954017.0000","543.6700","544.8000","528.1277"
